word,meaning,pos,example,unit,lesson_id,lesson_title
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,1,Hausa-A1-u1-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,1,Hausa-A1-u1-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,1,Hausa-A1-u1-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,1,Hausa-A1-u1-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,1,Hausa-A1-u1-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,1,Hausa-A1-u1-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,1,Hausa-A1-u1-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,1,Hausa-A1-u1-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,1,Hausa-A1-u1-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,1,Hausa-A1-u1-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,1,Hausa-A1-u1-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,1,Hausa-A1-u1-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,2,Hausa-A1-u2-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,2,Hausa-A1-u2-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,2,Hausa-A1-u2-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,2,Hausa-A1-u2-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,2,Hausa-A1-u2-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,2,Hausa-A1-u2-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,2,Hausa-A1-u2-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,2,Hausa-A1-u2-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,2,Hausa-A1-u2-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,2,Hausa-A1-u2-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,2,Hausa-A1-u2-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,2,Hausa-A1-u2-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,3,Hausa-A1-u3-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,3,Hausa-A1-u3-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,3,Hausa-A1-u3-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,3,Hausa-A1-u3-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,3,Hausa-A1-u3-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,3,Hausa-A1-u3-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,3,Hausa-A1-u3-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,3,Hausa-A1-u3-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,3,Hausa-A1-u3-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,3,Hausa-A1-u3-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,3,Hausa-A1-u3-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,3,Hausa-A1-u3-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,4,Hausa-A1-u4-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,4,Hausa-A1-u4-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,4,Hausa-A1-u4-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,4,Hausa-A1-u4-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,4,Hausa-A1-u4-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,4,Hausa-A1-u4-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,4,Hausa-A1-u4-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,4,Hausa-A1-u4-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,4,Hausa-A1-u4-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,4,Hausa-A1-u4-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,4,Hausa-A1-u4-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,4,Hausa-A1-u4-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,5,Hausa-A1-u5-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,5,Hausa-A1-u5-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,5,Hausa-A1-u5-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,5,Hausa-A1-u5-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,5,Hausa-A1-u5-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,5,Hausa-A1-u5-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,5,Hausa-A1-u5-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,5,Hausa-A1-u5-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,5,Hausa-A1-u5-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,5,Hausa-A1-u5-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,5,Hausa-A1-u5-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,5,Hausa-A1-u5-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,6,Hausa-A1-u6-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,6,Hausa-A1-u6-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,6,Hausa-A1-u6-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,6,Hausa-A1-u6-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,6,Hausa-A1-u6-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,6,Hausa-A1-u6-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,6,Hausa-A1-u6-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,6,Hausa-A1-u6-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,6,Hausa-A1-u6-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,6,Hausa-A1-u6-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,6,Hausa-A1-u6-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,6,Hausa-A1-u6-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,7,Hausa-A1-u7-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,7,Hausa-A1-u7-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,7,Hausa-A1-u7-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,7,Hausa-A1-u7-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,7,Hausa-A1-u7-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,7,Hausa-A1-u7-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,7,Hausa-A1-u7-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,7,Hausa-A1-u7-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,7,Hausa-A1-u7-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,7,Hausa-A1-u7-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,7,Hausa-A1-u7-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,7,Hausa-A1-u7-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,8,Hausa-A1-u8-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,8,Hausa-A1-u8-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,8,Hausa-A1-u8-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,8,Hausa-A1-u8-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,8,Hausa-A1-u8-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,8,Hausa-A1-u8-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,8,Hausa-A1-u8-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,8,Hausa-A1-u8-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,8,Hausa-A1-u8-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,8,Hausa-A1-u8-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,8,Hausa-A1-u8-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,8,Hausa-A1-u8-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,9,Hausa-A1-u9-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,9,Hausa-A1-u9-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,9,Hausa-A1-u9-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,9,Hausa-A1-u9-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,9,Hausa-A1-u9-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,9,Hausa-A1-u9-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,9,Hausa-A1-u9-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,9,Hausa-A1-u9-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,9,Hausa-A1-u9-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,9,Hausa-A1-u9-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,9,Hausa-A1-u9-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,9,Hausa-A1-u9-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,10,Hausa-A1-u10-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,10,Hausa-A1-u10-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,10,Hausa-A1-u10-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,10,Hausa-A1-u10-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,10,Hausa-A1-u10-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,10,Hausa-A1-u10-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,10,Hausa-A1-u10-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,10,Hausa-A1-u10-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,10,Hausa-A1-u10-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,10,Hausa-A1-u10-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,10,Hausa-A1-u10-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,10,Hausa-A1-u10-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,11,Hausa-A1-u11-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,11,Hausa-A1-u11-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,11,Hausa-A1-u11-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,11,Hausa-A1-u11-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,11,Hausa-A1-u11-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,11,Hausa-A1-u11-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,11,Hausa-A1-u11-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,11,Hausa-A1-u11-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,11,Hausa-A1-u11-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,11,Hausa-A1-u11-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,11,Hausa-A1-u11-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,11,Hausa-A1-u11-l6,Lesson 6 — Review
Hau_word1a,meaning 1a,noun,Example sentence with Hau_word1a.,12,Hausa-A1-u12-l1,Lesson 1 — Basics
Hau_word1b,meaning 1b,verb,Example sentence with Hau_word1b.,12,Hausa-A1-u12-l1,Lesson 1 — Basics
Hau_word2a,meaning 2a,noun,Example sentence with Hau_word2a.,12,Hausa-A1-u12-l2,Lesson 2 — Practice
Hau_word2b,meaning 2b,verb,Example sentence with Hau_word2b.,12,Hausa-A1-u12-l2,Lesson 2 — Practice
Hau_word3a,meaning 3a,noun,Example sentence with Hau_word3a.,12,Hausa-A1-u12-l3,Lesson 3 — Dialogue
Hau_word3b,meaning 3b,verb,Example sentence with Hau_word3b.,12,Hausa-A1-u12-l3,Lesson 3 — Dialogue
Hau_word4a,meaning 4a,noun,Example sentence with Hau_word4a.,12,Hausa-A1-u12-l4,Lesson 4 — Pronunciation
Hau_word4b,meaning 4b,verb,Example sentence with Hau_word4b.,12,Hausa-A1-u12-l4,Lesson 4 — Pronunciation
Hau_word5a,meaning 5a,noun,Example sentence with Hau_word5a.,12,Hausa-A1-u12-l5,Lesson 5 — Culture
Hau_word5b,meaning 5b,verb,Example sentence with Hau_word5b.,12,Hausa-A1-u12-l5,Lesson 5 — Culture
Hau_word6a,meaning 6a,noun,Example sentence with Hau_word6a.,12,Hausa-A1-u12-l6,Lesson 6 — Review
Hau_word6b,meaning 6b,verb,Example sentence with Hau_word6b.,12,Hausa-A1-u12-l6,Lesson 6 — Review
